台文,台羅,中文,英文
一口劍,tsi̍t kháu kiàm,一把劍,a sword
一家口,tsi̍t ke-kháu,一家人,a family
一口灶,tsi̍t kháu-tsàu,一戶,one household
土地,thóo-tē,土地,land.
伊的人較土。,I ê lâng khah thóo.,他的個性較老土。,His personality is more old-fashioned.
本土,pún-thóo,本土,local
土產,thóo-sán,土產,local specialty products.
博士,phok-sū,博士,Doctor
士農工商,sū lông kang siong,士農工商,"scholars, farmers, artisans, and merchants"
大官,ta-kuann,公公,grandfather
大家,ta-ke,婆婆,Grandmother
大量,tāi-liōng,大量,a large amount
大德,tāi-tik,大德,great virtue
阮大兄大我三歲。,Guán tuā-hiann tuā guá sann huè.,我大哥比我大三歲。,My older brother is three years older than me.
大紅,tuā-âng,深紅色,deep red.
大人,tuā-lâng,大人,adult
大昨日,tuā-tso̍h--ji̍t,大前天,the day before yesterday
大後日,tuā-āu--ji̍t,大後天,the day after tomorrow.
大伯,tuā-peh,大伯父,Great uncle
大姊,tuā-tsí,大姊,Big sister
囡仔會大，早慢是愛離開。,"Gín-á ē tuā, tsá-bān sī ài lī-khui.",小孩子會長大，遲早得要離開。,Children will grow up and sooner or later they will have to leave.
婦女,hū-lí,婦女,women.
女權,lú-khuân,女權,Women's rights
銃子,tshìng-tsí,子彈,Bullet.
果子,kué-tsí,水果,fruit
菜子,tshài-tsí,菜種,vegetable seeds.
烏魚子,oo-hî-tsí,烏魚子,black fish roe.
公子,kong-tsú,稱人子,Calling someone a son of man.
孝子,hàu-tsú,孝順的兒子。也指父母死後，居喪守孝的兒子,Filial son. Also refers to the son who observes mourning and filial piety after the death of his parents.
孔子公,Khóng-tsú-kong,孔子,Confucius
女子,lú-tsú,女子,Woman.
男子,lâm-tsú,男子,man
子弟,tsú-tē,子弟,youth
弟子,tē-tsú,弟子,disciple.
子丑寅卯,tsú thiú în báu,地支前四位,The first four Earthly Branches
甲子年,kah-tsú nî,干支為甲子的年分,The year of the sexagenary cycle is the year of the Jiazi.
子時,tsú-sî,晚上十一點至第二天凌晨一點,From 11pm at night until 1am the next morning.
面子,bīn-tsú,面子,face or dignity.
棋子,kî-jí,棋子,chess piece
算盤子,sǹg-puânn-jí,算盤的珠子,The beads of the abacus
一子弓蕉,tsi̍t jí king-tsio,一根香蕉,One banana.
陰鴆陰鴆，咬人三寸深。,"Im-thim-im-thim, kā lâng sann tshùn tshim.",一般陰沉的人，平常多是默不作聲，一狠起來，就會狠咬一口。,"Generally, introverted people tend to keep silent. But when they get tough, they will bite hard."
寸步難行,tshùn pōo lân hîng,一小步也行走不得，喻處境困窘。,"One small step cannot be taken, metaphorically meaning being in a difficult situation."
小寒,siáu-hân,二十四節氣之一，冬至過後十五天，因天候寒冷所以有這個名稱。,"One of the twenty-four solar terms, fifteen days after the winter solstice, it is named after the cold weather."
小女,siáu-lú,自己的女兒,ones own daughter
小湧,sió-íng,小浪,Little wave
小可,sió-khuá,稍微、一點點,a little bit.
小想一下,sió siūnn--tsi̍t-ē,稍微想一下,Think about it a little.
小叔仔,sió-tsik-á,丈夫的弟弟,husbands younger brother
阿里山,A-lí-san,阿里山,Alishan
懸山,kuân suann,高山,high mountain
起山,khí-suann,登陸,landing.
山園,suann-hn̂g,旱田,dry field.
山地,suann-tē,旱地或指山很多的地區,Areas with many dry lands
我一禮拜愛上班五工。,Guá tsi̍t lé-pài ài siōng-pan gōo kang.,我一禮拜要上五天班。,I have to work five days a week.
勞工,lô-kang,勞工,laborer
工人,kang-lâng,工人,worker
木工,ba̍k-kang,木工,carpenter.
工程,kang-tîng,工程,Engineering
伊刻這粒印仔真了工。,I khik tsit lia̍p ìn-á tsin liáu-kang.,他刻這顆印章花很多時間。,He spent a lot of time carving this seal.
我無彼號閒工佮你開講。,Guá bô hit lō îng-kang kah lí khai-káng.,我沒有多餘的時間跟你聊天。,I don't have extra time to chat with you.
工場,kang-tiûnn,工場,factory
工業,kang-gia̍p,工業,industry
化工,huà-kang,化工,chemical industry
工尺,kong-tshe,工尺,gongche.
安份守己,an-hūn-siú-kí,安份守己,Stay content with what one has and keep to oneself.
自己,tsū-kí,自己,oneself
巳時,tsī-sî,上午九點到十一點,Nine to eleven in the morning.
面巾,bīn-kin,毛巾,towel
手巾仔,tshiú-kin-á,手帕,Handkerchief.
干戈,kan-ko,盾和矛，原指兵器，後多引申為戰爭。,"Shield and spear, originally referred to weapons, later often extended to war."
天干,thian-kan,甲乙丙丁戊己庚辛壬癸十天干,Jia Yi Bing Ding Wu Ji Geng Xin Ren Gui Shi Tian Gan.
干涉,kan-sia̍p,干涉,interference.
干犯,kan-huān,冒犯、侵犯,"Offend, violate."
弓箭,king-tsìnn,弓箭,Bow and arrow.
衫弓仔,sann-king-á,衣架,Clothes hanger.
弓蕉,king-tsio,香蕉,Banana.
弓大豬,king tuā ti,以過量餵養的方式，把豬隻的體型在短時間之內撐得更大，通常在即將販售或競賽之前進行。,"By overfeeding, pigs' bodies are made to grow even larger in a short period of time, usually before they are sold or entered into a competition."
大步弓,tuā pōo king,張大步伐快速走,Zhang walks quickly with big strides.
一弓弓蕉,tsi̍t king king-tsio,一枝香蕉花所結的一長串香蕉,A long string of bananas produced by a banana flower.
才調,tsâi-tiāu,本事、能力,skills and abilities
無才,bô-tsâi,沒本事,No ability or Incompetent.
將才,tsiòng-tsâi,將才,talented individuals
秀才,siù-tsâi,秀才,Scholar.
奴才,lôo-tsâi,奴才,servant
這馬我才知影伊是騙我的。,Tsit-má guá tsiah tsai-iánn i sī phiàn--guá--ê.,現在我才知道他是騙我的。,Now I know he was deceiving me.
伊才十七歲爾爾，袂使啉酒。,"I tsiah tsa̍p-tshit huè niā-niā, bē-sái lim tsiú.",他才十七歲而已，不能喝酒。,He is only 17 years old and cannot drink alcohol.
我才無欲相信你講的話！,Guá tsiah bô beh siong-sìn lí kóng ê uē!,我才不相信你說的話！,I don't believe what you said!
後擺我才共你講。,Āu-pái guá tsiah kā lí kóng.,以後我再告訴你。,Later I'll tell you.
電影看煞才來去食飯。,Tiān-iánn khuànn-suah tsiah lâi-khì tsia̍h-pn̄g.,電影看完再去吃飯。,"Watch the movie first, then go eat."
這款木材一才偌濟？,Tsit khuán bo̍k-tsâi tsi̍t tshâi guā-tsē?,這種木材一才多少錢？,How much does this kind of wood cost per unit?
阮丈人明仔載欲起來臺北。,Guán tiūnn-lâng bîn-á-tsài beh khí-lâi Tâi-pak.,我的岳父明天要北上到臺北。,My father-in-law is going to Taipei tomorrow.
三八人,sam-pat lâng,傻氣不正經的人,silly and not serious person.
伊是一个土人，講話較凊彩，你毋通佮伊計較。,"I sī tsi̍t ê thóo-lâng, kóng-uē khah tshìn-tshái, lí m̄-thang kah i kè-kàu.",他是一個粗人，說話比較隨便，你不要跟他計較。,"He is a rude person, speaks casually, don't argue with him."
警察大人,kíng-tshat tāi-jîn,警察大人,Police officer
大人儉一喙，囡仔食甲飫。,"Tuā-lâng khiām tsi̍t tshuì, gín-á tsia̍h kah uì.",大人少吃一口，小孩子就可以吃得飽，甚至吃到膩了。,"If adults take one less bite, children can eat until they are full, even until they are tired of eating."
囡仔猶閣細漢，你毋通共拍甲遐爾仔大力。,"Gín-á iáu-koh sè-hàn, lí m̄-thang kā phah kah hiah-nī-á tuā-la̍t.",孩子還小，你不要打得那麼用力。,"The child is still young, don't hit so hard."
對臺北坐高鐵到臺中上久是一點捅鐘。,Tuì Tâi-pak tsē ko-thih kàu Tâi-tiong siōng-kú sī tsi̍t tiám thóng tsing.,從臺北坐高鐵到臺中最久是一個多小時。,"From Taipei to Taichung, the longest time it takes by high-speed rail is a little over an hour."
頂禮拜阮一陣人上山去看風景。,Tíng lé-pài guán tsi̍t tīn lâng tsiūnn-suann khì khuànn hong-kíng.,上個禮拜我們一群人登山去看風景。,"Last week, a group of us went hiking to see the scenery."
我欲準備下山矣。,Guá beh tsún-pī hā-san--ah.,我要準備下山了。,I am going to prepare to go down the mountain.
伊久久才來一擺。,I kú-kú tsiah lâi tsi̍t pái.,他相隔很久才來一次。,He only comes once in a long time.
伊拍一下傷大下，箠仔煞斷去。,"I phah tsi̍t-ē siunn tuā-ē, tshuê-á suah tn̄g--khì.",他打得太用力，竹枝竟然斷掉了。,He hit too hard and the bamboo branch broke.
伊真小口，食袂濟。,"I tsin sió-kháu, tsia̍h bē tsē.",他食量很小，吃不多。,He has a small appetite and can't eat much.
男子漢大丈夫,lâm-tsú-hàn tāi-tiōng-hu,男子漢大丈夫,A real man is brave and fearless.
叫你莫，你干干仔欲！,"Kiò lí mài, lí kan-kan-á beh!",叫你不要，你偏要！,"Don't do it, they said, but you insisted on doing it anyway!"
山頂的暗暝，會使看著千千萬萬粒星。,"Suann-tíng ê àm-mê, ē-sái khuànn-tio̍h tshian-tshian-bān-bān lia̍p tshenn.",山上的夜晚，可以看到成千上萬顆星星。,"On the night on the mountain, you can see tens of thousands of stars."
姑婆的翁我愛叫伊「丈公」。,Koo-pô ê ang guá ài kiò i “tiūnn-kong”.,姑婆的先生我要叫他「姑公」。,"I want to call her husband ""Uncle""."
這馬下勻的少年人，想法佮阮往過攏無仝。,"Tsit-má ē-ûn ê siàu-liân-lâng, siūnn-huat kah guán íng-kuè lóng bô kāng.",現在小一輩的年輕人，想法和我們以往不同。,The young people of the younger generation now have different ideas from us in the past.
大不了予人罵罵咧爾爾。,Tāi-put-liáu hōo lâng mē-mē--leh niā-niā.,頂多被罵一罵而已。,"At most, just get scolded a little."
伊三不五時就來阮兜行踏。,I sam-put-gōo-sî tō lâi guán tau kiânn-ta̍h.,他不時來我們家串門子。,He often comes to our house for a visit.
伊三不五時會有新作品出版。,I sam-put-gōo-sî ē ū sin tsok-phín tshut-pán.,他不定時有新作品出版。,He publishes new works irregularly.
你這款土公仔性著愛改啦！,Lí tsit khuán thóo-kong-á-sìng tio̍h-ài kái--lah!,你這種粗魯的個性要改一改！,You need to change your rough personality!
伊就是彼款土公仔性，你莫佮伊計較。,"I tō sī hit khuán thóo-kong-á-sìng, lí mài kah i kè-kàu.",他的個性就是那麼粗魯，你不要和他計較。,"His personality is just that rough, don't argue with him."
請上天保庇咱臺灣會當安定佮富裕。,Tshiánn siōng-thian pó-pì lán Tâi-uân ē-tàng an-tīng kah hù-jū.,請上蒼保佑我們臺灣能夠安定和富裕。,"Please bless us, God, that Taiwan may be stable and prosperous."
彼項工夫伊已經學上手矣。,Hit hāng kang-hu i í-king o̍h tsiūnn-tshiú--ah.,那項技術他已熟練了。,He has already mastered that skill.
諞仙仔錢諞上手就溜旋矣。,Pián-sian-á tsînn pián tsiūnn-tshiú tō liu-suan--ah.,郎中錢一騙到手就開溜了。,"The meaning of the text in English is: Once the imperial physician Qian got his hands on the money, he immediately fled."
彼口井敢閣有咧上水？,Hit kháu tsénn kám koh ū teh tshiūnn-tsuí?,那口井還有人在取水嗎？,Is anyone still drawing water from that well?
先下手為強,sing hē-tshiú uî kiông,先下手為強,Seize the initiative.
下水湯,hā-suí thng,用禽類動物內臟煮成的湯,Soup made from the internal organs of poultry.
伊出手真大方，攏袂凍霜。,"I tshut-tshiú tsin tāi-hong, lóng bē tàng-sng.",他出手很慷慨，一點也不會小氣吝嗇。,He is very generous and not at all stingy.
伊今仔日的穿插真大方。,I kin-á-ji̍t ê tshīng-tshah tsin tāi-hong.,他今天的穿著很得體，有大家的風範。,"His attire today is very tasteful, with the style of a gentleman."
今仔日是大日，真濟人嫁娶。,"Kin-á-ji̍t sī tuā-ji̍t, tsin tsē lâng kè-tshuā.",今天是好日子，很多人嫁娶。,"Today is a good day, many people are getting married."
運動會閣拄著出大日，逐家一定會曝甲烏趖趖。,"Ūn-tōng-huē koh tú-tio̍h tshut tuā-ji̍t, ta̍k-ke it-tīng ē pha̍k kah oo-sô-sô.",運動會又遇到出大太陽，大家一定會曬得很黑。,"The sports meet encountered a big sun again, everyone will definitely get very tanned."
你若欲做衫，愛先量寸尺。,"Lí nā beh tsò sann, ài sing niû tshùn-tshioh.",你如果想要做衣服，要先量身材尺寸。,"If you want to make clothes, you need to measure your body size first."
囡仔人騎車愛小心，毋通騎傷緊。,"Gín-á-lâng khiâ-tshia ài sió-sim, m̄-thang khiâ siunn kín.",小孩子騎車要留意謹慎，不要騎太快。,Children should be careful when riding bicycles and not ride too fast.
舊曆的小月干焦二十九工爾爾。,Kū-li̍k ê sió-gue̍h kan-na jī-tsa̍p-káu kang niā-niā.,農曆的小月只有二十九天而已。,The lunar month only has 29 days.
這個月是小月，來阮店交關的人客有較少。,"Tsit kò gue̍h sī sió-gue̍h, lâi guán tiàm kau-kuan ê lâng-kheh ū khah tsió.",這個月是生意淡季，來我們店裡捧場的人比較少。,"This month is the off-season for business, so there are fewer people coming to our store."
伊是做小木的。,I sī tsò sió-ba̍k--ê.,他是製作家具的木工。,He is a carpenter who makes furniture.
這馬練工夫真時行。,Tsit-má liān kang-hu tsin sî-kiânn.,現在很流行練功夫。,Now practicing kung fu is very popular.
這條手巾仔做了有夠工夫。,Tsit tiâu tshiú-kin-á tsò liáu ū-kàu kang-hu.,這條手帕做得很細緻。,This handkerchief is made very delicately.
伊的工夫袂䆀。,I ê kang-hu bē-bái.,他的技術不錯。,His skills are good.
咱攏是熟似人，毋免遐工夫。,"Lán lóng sī si̍k-sāi-lâng, m̄-bián hiah kang-hu.",我們都是彼此熟識的人，不用那麼多禮。,"We are all familiar with each other, no need for so much ceremony."
你做代誌毋通三心兩意。,Lí tsò tāi-tsì m̄-thang sam-sim-lióng-ì.,你做事情不要猶豫不決。,Do not hesitate when you do things.
伊拍球拍甲大心氣。,I phah-kiû phah kah tuā-sim-khuì.,他打球打到喘不過氣來。,He played ball until he was out of breath.
你閣會曉西瓜倚大爿，知影欲綴阮行。,"Lí koh ē-hiáu si-kue uá tuā-pîng, tsai-iánn beh tuè guán kiânn.",你還會見風轉舵，知道要跟著我們走。,You can still turn the rudder with the wind and know to follow us.
你的年歲比我較濟，大爿讓予你坐。,"Lí ê nî-huè pí guá khah tsē, tuā-pîng niū hōo lí tsē.",你的年紀比我大，左邊這個位子就讓給你坐。,"Your age is older than mine, so I'll give you the seat on the left."
冊愛用巾仔包咧。,Tsheh ài īng kin-á pau--leh.,書要用布巾包著。,Wrap the book with a cloth.
啥人叫你大主大意做這件代誌？,Siánn-lâng kiò lí tuā-tsú-tuā-ì tsò tsit kiānn tāi-tsì?,誰叫你擅作主張做這件事？,Who told you to make decisions and do this thing on your own?
