中文,台文,台羅,白話字
順便繞去上禮拜一樣在永樂布市，,順紲斡去共頂禮拜𫝛佇永樂布市，,"Sūn-suà uat-khìr kā tíng lé-pài sâng tī Íng-lo̍k pòo-tshī,","Sūn-sòa oat-khìr kā téng lé-pài sâng tī Éng-lo̍k pò͘-chhī,"
早就安排一些戲碼，,早就安排一寡齣頭，,"tsá tō an-pâi tsi̍t-kuá tshut-thâu,","chá tō an-pâi chi̍t-kóa chhut-thâu,"
還有，現在最重要的打字工具是手機。,閣有，這馬上要緊的拍字工具是手機仔。,"Koh ū, tsit-má siōng iàu-kín ê phah-lī kang-kū sī tshiú-ki-á.","Koh ū,chit-má siōng iàu-kín ê phah-lī kang-kū sī chhiú-ki-á."
改朝換代後，也沒有一官半職，,改朝換代，並無做官做胘，,"kái tiâu uānn tāi, pīng bô tsò-kuann tsò kiān,","kái tiâu ōaⁿ tāi,pēng bô chò-koaⁿ chò kiān,"
三明治、『氧氣瓶』、『蛙腳』、蝶泳、,sa̋n-tóo-it-tsih、『氧氣瓶』、『蛙腳』、蝶仔泅、,"sa̋n-tóo-it-tsih, ‘氧-氣-瓶’, ‘蛙-腳’, ia̍h-á-siû,","săn-tó͘-it-chih,‘氧氣瓶’,‘蛙腳’,ia̍h-á-siû,"
我們這都嘛化學的，,咱遐攏嘛化學的，,"lán hia lóng mā huà-ha̍k--ê,","lán hia lóng mā hòa-ha̍k--ê,"
八十多歲的蔡培火老先生，,八十外歲的蔡培火老先生，,"peh-tsa̍p-guā huè ê Tshuà Puē-hué lāu sian-sinn,","peh-cha̍p-gōa hòe ê Chhòa Pōe-hóe lāu sian-siⁿ,"
這是基本道理。,這是基本道理。,tse sī ki-pún tō-lí.,che sī ki-pún tō-lí.
甚至地理、歷史、宗教、哲學的文章──,甚至地理、歷史、宗教、哲學的文章──,"sīm-tsì tē-lí, li̍k-sír, tsong-kàu, tiat-ha̍k ê bûn-tsiunn ──","sīm-chì tē-lí,le̍k-sír,chong-kàu,tiat-ha̍k ê bûn-chiuⁿ──"
淑珠笑著回應。,淑珠笑笑仔回應。,Siok-tsu tshiò-tshiò-á huê-ìng.,Siok-chu chhiò-chhiò-á hôe-èng.
半天之後，,半晡仔後，,"puànn-poo-á āu,","pòaⁿ-po͘-á āu,"
在討論要怎麼用「台灣話」創作我們台灣人的新文學。,咧討論欲按怎用「台灣話」創作咱台灣人的新文學。,leh thó-lūn beh án-tsuánn iōng “Tâi-uân-uē” tshòng-tsok lán Tâi-uân-lâng ê sin bûn-ha̍k.,leh thó-lūn beh án-chóaⁿ iōng“Tâi-oân-ōe”chhòng-chok lán Tâi-oân-lâng ê sin bûn-ha̍k.
天龍人）,都市戇）,too-tshī-gōng ),to͘-chhī-gōng)
真羨慕啊。,欣羨呢。,him-siān--neh.,him-siān--neh.
「這個孩子，,「這个囡仔，,"“tsit ê gín-á,","“chit ê gín-á,"
接下來，不用三分鐘，,紲落來，毋免三分鐘，,"suà--lo̍h-lâi, m̄-bián sann hun-tsing,","sòa--lo̍h-lâi,m̄-bián saⁿ hun-cheng,"
發覺粉紅雨傘忘記帶回來。,發覺粉紅雨傘袂記紮轉來。,huat-kak hún-âng hōo-suànn bē-kì tsah--tńg-lâi.,hoat-kak hún-âng hō͘-sòaⁿ bē-kì chah--tńg-lâi.
都是從這學來、了解到的！,攏是對遮學來、捌來的！,"lóng sī uì tsia o̍h--lâi, bat--lâi--ê!","lóng sī ùi chia o̍h--lâi,bat--lâi--ê!"
為了節省時間，,為著節省時間，,"uī-tio̍h tsiat-síng sî-kan,","ūi-tio̍h chiat-séng sî-kan,"
劉老師，請問，我們學校有幾位老師？,劉老師，請問，咱學校有幾个老師？,"Lâu lāu-su, tshiánn-mn̄g, lán ha̍k-hāu ū kuí uī lāu-su?","Lâu lāu-su,chhiáⁿ-mn̄g,lán ha̍k-hāu ū kúi ūi lāu-su?"
"總共兩百零三元,找你九十七元","攏總兩百零三箍,找你九十七箍","lóng-tsóng nn̄g-pah khòng sann khoo, tsāu lí káu-tsa̍p tshit khoo","lóng-chóng nn̄g-pah khòng saⁿ kho͘,chāu lí káu-cha̍p chhit kho͘"
得到這種回應：,得著這款回應：,tit-tio̍h tsit khuán huê-ìng:,tit-tio̍h chit khoán hôe-èng:
幾乎是擺在神桌上的人了，,差不多是尪架桌頂的人--矣，,"tsha-put-to sī ang-kè-toh-tíng ê lâng--ah,","chha-put-to sī ang-kè-toh-téng ê lâng--ah,"
在這種過程中，,佇這種過程中，,"tī tsit tsióng kuè-tîng-tiong,","tī chit chióng kòe-têng-tiong,"
才能去學校註冊。,才有通去學校註冊。,tsiah ū-thang khì ha̍k-hāu tsù-tsheh.,chiah ū-thang khì ha̍k-hāu chù-chheh.
（作者是台文筆會的理事長、,（作者是台文筆會的理事長、,"( tsok-tsiá sī Tâi-bûn pit-huē ê lí-sū-tiúnn,","(chok-chiá sī Tâi-bûn pit-hōe ê lí-sū-tiúⁿ,"
市公所後面的游泳池是日本人留下來的，,市公所後面的泅水池是日本人留落來的，,"tshī-kong-sóo āu-bīn ê siû-tsuí-tî sī Ji̍t-pún-lâng lâu--lo̍h-lâi--ê,","chhī-kong-só͘ āu-bīn ê siû-chúi-tî sī Ji̍t-pún-lâng lâu--lo̍h-lâi--ê,"
第三件是四十多年前的事，,第三件是四十外年前的代誌，,"terē-sann kiānn sī sì-tsa̍p-guā nî tsîng ê tāi-tsì,","tērē-saⁿ kiāⁿ sī sì-cha̍p-gōa nî chêng ê tāi-chì,"
然後，從海外傳入台灣，,然後，對海外傳入來台灣，,"jiân-āu, uì hái-guā thuân ji̍p-lâi Tâi-uân,","jiân-āu,ùi hái-gōa thoân ji̍p-lâi Tâi-oân,"
如此臺語文運動的前輩才能稍微休息，,按呢臺語文運動的前輩才會當小可歇喘，,"Án-ne Tâi-gí-bûn ūn-tōng ê tsiân-puè tsiah ē-tàng sió-khuá hioh-tshuán,","Án-ne Tâi-gí-bûn ūn-tōng ê chiân-pòe chiah ē-tàng sió-khóa hioh-chhoán,"
他把文鐘家裡的地址抄在記事本上。,伊共文鐘in兜的地址抄踮手指簿仔。,i kā Bûn-tsing in tau ê tē-tsí tshau tiàm tshiú-tsí-phōo-á.,i kā Bûn-cheng in tau ê tē-chí chhau tiàm chhiú-chí-phō͘-á.
這個游泳池就是爸爸教我們兄妹游泳的訓練所，,這个泅水池就是爸爸教阮兄妹仔泅水的訓練所，,"tsit ê siû-tsuí-tî tio̍h sī pa-pa kà guán hiann-muē-á siû-tsuí ê hùn-liān-sóo,","chit ê siû-chúi-tî tio̍h sī pa-pa kà goán hiaⁿ-mōe-á siû-chúi ê hùn-liān-só͘,"
只剩我們兩個老的在拜而已。,干焦賰阮兩老的咧拜爾。,kan-ta tshun gún nn̄g lāu--ê leh pài niâ.,kan-ta chhun gún nn̄g lāu--ê leh pài niâ.
緊抓著錢包，,共錢袋仔捏牢牢，,"kā tsînn-tē-á tēnn-tiâu-tiâu,","kā chîⁿ-tē-á tēⁿ-tiâu-tiâu,"
出入順利。,出入順利。,tshut-li̍p sūn-lī.,chhut-li̍p sūn-lī.
老師，那個鬧鐘瘋瘋顛顛的，,老師，彼个亂鐘仔痟痟，,"lāu-su, hit ê luān-tsing-á siáu-siáu,","lāu-su,hit ê loān-cheng-á siáu-siáu,"
緩緩起身，,寬寬仔𬦰起身，,"khuann-khuann-á peh khí-sin,","khoaⁿ-khoaⁿ-á peh khí-sin,"
搭帳篷、露營……,搭thiàn-tooh、露營……,"tah thiàn-tooh, lōo-iânn...","tah thiàn-to͘h,lō͘-iâⁿ..."
是在祭拜孤魂幫他們普渡。,是咧孝（拜）孤魂共普渡。,sī leh hàu ( pài ) koo-hûn kā phóo-tōo.,sī leh hàu(pài)ko͘-hûn kā phó͘-tō͘.
第二個蔣總統登基，,第二个蔣總統登基，,"tē-jī ê Tsiúnn tsóng-thóng ting-ki,","tē-jī ê Chiúⁿ chóng-thóng teng-ki,"
什麼是老土，,啥物是倯，,"siánn-mih sī sông,","siáⁿ-mih sī sông,"
愈多人做就愈有競爭，,愈濟人做就愈有競爭，,"lú tsuē lâng tsuè tiō lú ū kìng-tsing,","lú chōe lâng chòe tiō lú ū kèng-cheng,"
孩子們已經非常疲憊，,囡仔已經𤺪篤篤，,"gín-á í-king siān-tauh-tauh,","gín-á í-keng siān-tauh-tauh,"
這是基本道理。,這是基本道理。,tse sī ki-pún tō-lí.,che sī ki-pún tō-lí.
啊！kop-ioh-á，,啊！kop-ioh-á，,"ah! kop-ioh-á,","ah!kop-ioh-á,"
在「要常來！」的再會聲中，,佇「才閣來！」的再會聲中，,"tī “tsiah koh lâi! "" ê tsài-huē siann tiong,","tī“chiah koh lâi!""ê chài-hōe siaⁿ tiong,"
當時，蔣經國已經是蔣總統了，,彼陣，蔣經國已經做蔣總統矣，,"hit-tsūn, Tsiúnn King-kok í-king tsò Tsiúnn tsóng-thóng--ah,","hit-chūn,Chiúⁿ Keng-kok í-keng chò Chiúⁿ chóng-thóng--ah,"
蔡培火從日本時代起就為臺灣人奮鬥，,蔡培火佇日本時代就為臺灣人拍拚，,"Tshuà Puê-hué tī Ji̍t-pún Sî-tāi tō uī Tâi-uân-lâng phah-piànn,","Chhòa Pôe-hóe tī Ji̍t-pún Sî-tāi tō ūi Tâi-oân-lâng phah-piàⁿ,"
這篇是從《開墾、掖種、生湠─李江却台語文教基金會十五周年特刊》摘錄的。）,這篇是對《開墾、掖種、生湠─李江却台語文教基金會十五周年特刊》摘出來的。）,"tsit phinn sī uì “khai-khún, iā-tsíng, senn-thuànn ─ Lí Kang Khiok Tâi-gú bûn-kàu ki-kim-huē tsa̍p-gōo tsiu-nî ti̍k khan” tiah--tshut-lâi--ê. )","chit phiⁿ sī ùi“khai-khún,iā-chéng,seⁿ-thòaⁿ─Lí Kang Khiok Tâi-gú bûn-kàu ki-kim-hōe cha̍p-gō͘ chiu-nî te̍k khan”tiah--chhut-lâi--ê.)"
才會變得越來越孤獨。,才會變甲那來那孤老。,tsiah ē piàn kah ná lâi ná koo-láu.,chiah ē piàn kah ná lâi ná ko͘-láu.
這是我們這裡的口音，,這是阮遮的腔口，,"tse sī gún tsia ê khiunn-kháu,","che sī gún chia ê khiuⁿ-kháu,"
喂！同學！,喂！同學！,ueh! tông-o̍h!,oeh!tông-o̍h!
因為，在戰後一九八零年代台灣社會發起的母語復振運動中，,因為，佇戰後一九八零年代台灣社會發起的母語復振運動中，,"in-uī, tī tsiàn-āu it kiú pat khòng nî-tāi Tâi-uân siā-huē huat-khí ê bó-gí ho̍k-tsín ūn-tōng tiong,","in-ūi,tī chiàn-āu it kiú pat khòng nî-tāi Tâi-oân siā-hōe hoat-khí ê bó-gí ho̍k-chín ūn-tōng tiong,"
再來這個有作者本人沉穩的性格。,閣來這項有作者本人掂斗的性格。,koh lâi tsit hāng ū tsok-tsiá pún-lâng tìm-táu ê sìng-keh.,koh lâi chit hāng ū chok-chiá pún-lâng tìm-táu ê sèng-keh.
爸爸教我們學游泳的種種，,爸爸教阮學泅水的種種，,"pa-pa kà gún o̍h siû-tsuí ê tsióng-tsióng,","pa-pa kà gún o̍h siû-chúi ê chióng-chióng,"
阿生一時不知道要說什麼，,阿生一時毋知欲講啥，,"A-sing tsi̍t-sî m̄ tsai beh kóng siánn,","A-seng chi̍t-sî m̄ chai beh kóng siáⁿ,"
我照例拍一張相片做紀念，,我照例翕一張相片做紀念，,"guá tsiàu lē hip tsi̍t tiunn siòng-phìnn tsò kì-liām,","góa chiàu lē hip chi̍t tiuⁿ siòng-phìⁿ chò kì-liām,"
有做紅龜粿，,有做紅龜粿，,"ū tsò âng-ku-kué,","ū chò âng-ku-kóe,"
今日我們才能有進一步討論、,今仔日咱才有通進一步討論、,"kin-á-ji̍t lán tsiah ū-thang tsìn-tsi̍t-pōo thó-lūn,","kin-á-ji̍t lán chiah ū-thang chìn-chi̍t-pō͘ thó-lūn,"
池子裡有貼磁磚，,池仔內有貼thài-lù，,"tî-á-lāi ū tah thài-luh,","tî-á-lāi ū tah thài-luh,"
台北小孩來囉，,台北囡仔來囉，,"Tâi-pak gín-á lâi--looh,","Tâi-pak gín-á lâi--lo͘h,"
差不多二十個。有的是外國人，他們是在教英語的。,差不多二十个。有的是外國人，𪜶是咧教英語的。,"Tsha-put-to jī-tsa̍p ê. Ū--ê sī guā-kok-lâng, in sī teh kà Ing-gí--ê.","Chha-put-to jī-cha̍p ê.Ū--ê sī gōa-kok-lâng,in sī teh kà Eng-gí--ê."
等待地瓜挖起來吃的時候，,聽候番薯挖起來食的時，,"thìng-hāu han-tsî óo khí-lâi tsia̍h ê sî,","thèng-hāu han-chî ó͘ khí-lâi chia̍h ê sî,"
七月時的拜拜讓我最放不下的還是被人欺滅的平埔族跟台灣祖靈Alid。,七月時仔拜拜予我上放袂離的猶是予人欺滅的平埔族佮台灣祖靈Alid。,tshit-gue̍h-sî-á pài-pài hōo guá siōng pàng bē lī--ê iah-sī hông khi bia̍t ê pênn-poo-tso̍k kah Tâi-uân tsóo-lîng Alid.,chhit-goe̍h-sî-á pài-pài hō͘ góa siōng pàng bē lī--ê iah-sī hông khi bia̍t ê pêⁿ-po͘-cho̍k kah Tâi-oân chó͘-lêng Alid.
最近《國家語言發展法》已經送入立法院，,最近《國家語言發展法》已經送入去立法院，,"tsuè-kūn “Kok-ka gír-giân huat-tián-huat” í-king sàng li̍p-khìr li̍p-huat-īnn,","chòe-kūn“Kok-ka gír-giân hoat-tián-hoat”í-keng sàng li̍p-khìr li̍p-hoat-īⁿ,"
一群鄉下土包子和都市笨蛋來到田中央（真正的田裡面），,一陣庄跤戇佮都市倯來到田中央（真正的田地的內面），,"tsi̍t-tsūn tsng-kha-gōng kah too-tshī-sông lâi kàu tshân-tiong-ng ( tsin-tsiànn ê tshân-tē ê lāi-bīn ),","chi̍t-chūn chng-kha-gōng kah to͘-chhī-sông lâi kàu chhân-tiong-ng(chin-chiàⁿ ê chhân-tē ê lāi-bīn),"
半天之後，,半晡仔後，,"puànn-poo-á āu,","pòaⁿ-po͘-á āu,"
也造就許多台文作家，,嘛造就真濟台文作家，,"mā tsō-tsiū tsin tsē Tâi-bûn tsok-ka,","mā chō-chiū chin chē Tâi-bûn chok-ka,"
「在家裡用臉盆盛五六分水，,「佇厝內用面桶仔承五六分水，,"“tī tshù-lāi iōng bīn-tháng sîn gōo la̍k hun tsuí,","“tī chhù-lāi iōng bīn-tháng sîn gō͘ la̍k hun chúi,"
隨便大家在田裡遊玩，,隨在逐家蹛田裡𨑨迌，,"suî-tsāi ta̍k-ke tuà tshân--lí tshit-thô,","sûi-chāi ta̍k-ke tòa chhân--lí chhit-thô,"
幸好！過一會兒之後，,好佳哉！過一觸久仔，,"Hó-ka-tsài! Kuè tsi̍t-tak-kú-á,","Hó-ka-chài!Kòe chi̍t-tak-kú-á,"
都不曾親眼看過。,都毋捌親目看。,to m̄ bat tshin-ba̍k khuànn.,to m̄ bat chhin-ba̍k khòaⁿ.
啊！kop-ioh-á，,啊！kop-ioh-á，,"ah! kop-ioh-á,","ah!kop-ioh-á,"
讓他們可以將在學校學到的、非常有限的母語文延續下去,予𪜶會當共佇學校學--著--的、真有限的母語文維持莫斷根！,"hōo in ē-tàng kā tī ha̍k-hāu o̍h--tio̍h--ê, tsin iú-hān ê bó-gí-bûn uî-tshî mài tn̄g-kin!","hō͘ in ē-tàng kā tī ha̍k-hāu o̍h--tio̍h--ê,chin iú-hān ê bó-gí-bûn ûi-chhî mài tn̄g-kin!"
媽媽車禍過世，,老母車厄過身，,"lāu-bú tshia-eh kuè-sin,","lāu-bú chhia-eh kòe-sin,"
今天是七月六日，星期六,今仔日是七月初六，拜六,"kin-á-ji̍t sī tshit-gue̍h tshe-la̍k, pài-la̍k","kin-á-ji̍t sī chhit-goe̍h chhe-la̍k,pài-la̍k"
台文作家與《台文通訊》,台文作家佮《台文通訊》,Tâi-bûn tsok-ka kah “Tâi-bûn thong-sìn”,Tâi-bûn chok-ka kah“Tâi-bûn thong-sìn”
更加需要深入知道最早的台灣人根本歷史，,閣較需要深入知影上早的台灣人根底歷史，,"koh-khah su-iàu tshim-ji̍p tsai-iánn siōng tsá ê Tâi-uân-lâng kin-té li̍k-sú,","koh-khah su-iàu chhim-ji̍p chai-iáⁿ siōng chá ê Tâi-oân-lâng kin-té le̍k-sú,"
謝謝！我自己來。,多謝！我家己來。,To-siā! Guá ka-kī lâi.,To-siā!Góa ka-kī lâi.
我們家兩台欸，,阮兜兩台咧，,"gún tau nn̄g tâi--leh,","gún tau nn̄g tâi--leh,"
甜的喔，我看一下菜單…,甜的喔，我看me̋-niú--一下…,"Tinn--ê--ooh, guá khuànn me̋-niú--tsi̍t-ē …","Tiⁿ--ê--o͘h,góa khòaⁿ mĕ-niú--chi̍t-ē…"
玩鬼抓人、泥娃娃、抓蝴蝶、蚱蜢、青蛙，,走相逐、耍塗尪仔、掠蝶仔、草蜢仔、水雞，,"tsáu-sio-jik, sńg thôo-ang-á, lia̍h ia̍h-á, tsháu-meh-á, tsuí-ke,","cháu-sio-jek,sńg thô͘-ang-á,lia̍h ia̍h-á,chháu-meh-á,chúi-ke,"
臺灣人才能當總統、五院院長、四星上將、中研院院長、大學校長，,臺灣人才會當做總統、五院院長、四粒星的上將、中研院的院長、大學的學校長，,"Tâi-uân-lâng tsiah ē-tàng tsò tsóng-thóng, ngóo īnn īnn-tiúnn, sì lia̍p tshinn ê siōng-tsiòng, Tiong-gián-īnn ê īnn-tiúnn, tāi-ha̍k ê ha̍k-hāu-tiúnn,","Tâi-oân-lâng chiah ē-tàng chò chóng-thóng,ngó͘ īⁿ īⁿ-tiúⁿ,sì lia̍p chhiⁿ ê siōng-chiòng,Tiong-gián-īⁿ ê īⁿ-tiúⁿ,tāi-ha̍k ê ha̍k-hāu-tiúⁿ,"
暑假假日的時候，,歇熱禮拜的時，,"hioh-jua̍h lé-pài ê sî,","hioh-joa̍h lé-pài ê sî,"
「台文筆會」的成員有很多台文作家是直接或者是間接受著《台文通訊》的影響跟造就，,「台文筆會」的成員有真濟台文作家是直接或者是間接受著《台文通訊》的影響佮造就，,"“Tâi-bûn pit-huē” ê sîng-guân ū tsin tsē Tâi-bûn tsok-ka sī ti̍t-tsiap hi̍k-tsiá sī kan-tsiap siū-tio̍h “Tâi-bûn thong-sìn” ê íng-hióng kah tsō-tsiū,","“Tâi-bûn pit-hōe”ê sêng-goân ū chin chē Tâi-bûn chok-ka sī ti̍t-chiap he̍k-chiá sī kan-chiap siū-tio̍h“Tâi-bûn thong-sìn”ê éng-hióng kah chō-chiū,"
沒有經驗就會沒有見識，,無經驗就倯，,"bô king-giām tō sông,","bô keng-giām tō sông,"
溫度三十至三十二度，降雨機率百分之八十,溫度三十至三十二度，落雨機率八十pha,"un-tōo sann-tsa̍p tsì sann-tsa̍p-jī tōo, lo̍h-hōo ki-lu̍t peh-tsa̍p pha","un-tō͘ saⁿ-cha̍p chì saⁿ-cha̍p-jī tō͘,lo̍h-hō͘ ki-lu̍t peh-cha̍p pha"
臺灣人還得再一次表態歸順，,臺灣人著閣再歸順表態一遍，,"Tâi-uân-lâng tio̍h koh-tsài kui-sūn piáu-thài tsi̍t piàn,","Tâi-oân-lâng tio̍h koh-chài kui-sūn piáu-thài chi̍t piàn,"
我們臺灣人總算能出人頭地了。,咱臺灣人總算會當出頭天--矣。,lán Tâi-uân-lâng tsóng-sǹg ē-tàng tshut-thâu-thinn--ah.,lán Tâi-oân-lâng chóng-sǹg ē-tàng chhut-thâu-thiⁿ--ah.
最基本的工作就是「作品多元化」：,上基本的工課就是「作品多元化」：,Siōng ki-pún ê khang-khèr tiō sī “tsok-phín to-guân-huà”:,Siōng ki-pún ê khang-khèr tiō sī“chok-phín to-goân-hòa”:
這根本是「張松獻地圖」嘛！,這根本是「張松獻地圖」嘛！,tse kun-pún sī “Tiunn Siông hiàn tuē-tôo”--mah!,che kun-pún sī“Tiuⁿ Siông hiàn tōe-tô͘”--mah!
噹！噹！噹！,喨！喨！喨！,liang! liang! liang!,liang!liang!liang!
我們臺灣人總算能出人頭地了。,咱臺灣人總算會當出頭天矣。,lán Tâi-uân-lâng tsóng-sǹg ē-tàng tshut-thâu-thinn--ah.,lán Tâi-oân-lâng chóng-sǹg ē-tàng chhut-thâu-thiⁿ--ah.
什麼是傻，,啥物是戇，,"siánn-mih sī gōng,","siáⁿ-mih sī gōng,"
作者：張復聚,作者：張復聚,tsok-tsiá: Tiunn Ho̍k-tsū,chok-chiá:Tiuⁿ Ho̍k-chū
淺眠的淑珠趕緊按掉，,淺眠的淑珠緊猛揤掉，,"tshián-bîn ê Siok-tsu kín-mé ji̍h tiāu,","chhián-bîn ê Siok-chu kín-mé ji̍h tiāu,"
他爸爸是個大嗓門，,𪜶老爸足大嚨喉空的，,"in a-pah tsiok tuā-nâ-âu-khang--ê,","in a-pah chiok tōa-nâ-âu-khang--ê,"
老闆，我要糖醋排骨。,頭家，我愛糖醋排骨。,"Thâu-ke, guá ài thn̂g-tshòo-pâi-kut.","Thâu-ke,góa ài thn̂g-chhò͘-pâi-kut."
我不知道。你問劉老師，好不好？,我毋̄知影。你問劉老師，好無？,"Guá m̄ tsai-iánn. Lí mn̄g Lâu lāu-su, hó--bô?","Góa m̄ chai-iáⁿ.Lí mn̄g Lâu lāu-su,hó--bô?"
老師問學生：,老師問學生講：,Lāu-su mn̄g ha̍k-sing kóng:,Lāu-su mn̄g ha̍k-seng kóng:
我們家兩台呢，,阮兜兩台呢，,"guán tau nn̄g tâi--neh,","goán tau nn̄g tâi--neh,"
中國這樣，,中國按呢，,"Tiong-kok án-ni,","Tiong-kok án-ni,"
我的護照號碼是一八二二二八八一九,我的護照號碼是一八二二二八八一九,guá ê hōo-tsiàu hō-bé sī it pat jī jī jī pat pat it kiú,góa ê hō͘-chiàu hō-bé sī it pat jī jī jī pat pat it kiú
一堆一堆，,一堆一堆，,"tsi̍t tui tsi̍t tui,","chi̍t tui chi̍t tui,"
難道只有在平埔夜祭才可以找到那麼一點平埔台灣人的根據嗎？,敢干焦佇平埔夜祭才會當搜揣著彼屑仔平埔台灣人的根據？,kám kan-tann tī pênn-poo iā-tsè tsiah ē-tàng tshiau-tshuē tio̍h hit-sut-á pênn-poo Tâi-uân-lâng ê kin-kù?,kám kan-taⁿ tī pêⁿ-po͘ iā-chè chiah ē-tàng chhiau-chhōe tio̍h hit-sut-á pêⁿ-po͘ Tâi-oân-lâng ê kin-kù?
像是文學、寓言、科普（醫學、物理、化學、太空、地球科學……）、,親像文學、寓言、通俗科學（醫學、物理、化學、太空、地球科學……）、,"tshin-tshiūnn bûn-ha̍k, gū-giân, thong-sio̍k kho-ha̍k (i-ha̍k, bu̍t-lí, huà-ha̍k, thài-khong, tuē-kiû kho-ha̍k...),","chhin-chhiūⁿ bûn-ha̍k,gū-giân,thong-sio̍k kho-ha̍k(i-ha̍k,bu̍t-lí,hòa-ha̍k,thài-khong,tōe-kiû kho-ha̍k...),"
應該不輸你的咖啡。,並你的咖啡應該袂較輸。,phīng lí ê ka-pi ìng-kai bē khah-su.,phēng lí ê ka-pi èng-kai bē khah-su.
拿回訂購的桌巾和杯墊。,注文的桌苴仔佮杯墊仔提轉來。,tsù-bûn ê toh-tsū-á kah pue-tiām-á the̍h--tńg-lâi.,chù-bûn ê toh-chū-á kah poe-tiām-á the̍h--tńg-lâi.
