中文,台文,台羅
對警方連日粗暴執法，看不慣的這批師生，前天自主動員集結於行政院前面，抗議「人民匍匐建立的民主自由體制，在陳雲林來台灣期間，已經被這種滿城警力、政治威嚇氛圍與強勢的防堵，破壞到幾近崩解」，學生提出三大訴求：「馬英九、劉兆玄公開向國人道歉」、「警政署長王卓鈞、國安局長蔡朝明下台」、立法院應該儘速修改，限縮人民權利的『集會遊行法』。,對警方幾若工粗暴執法，看袂慣的這批師生，頂工自主動員集結佇行政院頭前，抗議「人民一步一跤印建立的民主自由體制，佇陳雲林來臺灣期間，已經被這款滿城警力、政治威嚇氣氛和強勢的圍堵，破壞到活欲幫敗」，學生提出三大訴求：「馬英九、劉兆玄公開向國人會毋著」、「警政署長王卓鈞、國安局長蔡朝明下台」、立法院應該較緊修改，限縮人民權利的『集會遊行法』。,tuì kíng-hong kuí-nā-kang tshoo-pō-tsip-huat，khuànn-bē-kuàn ê tsit-phue su-sing，tíng-kang tsū-tsú tōng-uân tsi̍p-kiat-tī hîng-tsìng-īnn thâu-tsîng，khòng-gī「jîn-bîn tsi̍t-pōo-tsi̍t-kha-ìn kiàn-li̍p-ê bîn-tsú-tsū-iû thé-tsè，tī tân-hûn-lîm lâi-tâi-uân kî-kan，í-king-pī tsit-khuán buán-siânn kíng-li̍k、tsìng-tī ui-hik khì-hun hâm kiông-sì-ê uî-tóo，phò-huāi-kàu ua̍h-beh pang-pāi」，ha̍k-sing thê-tshut sam-tuā-sòo-kiû：「má-ing-kiú、lâu-tiāu-hiân kong-khai hiòng kok-jîn huē-m̄-tio̍h」、「kíng-tsìng-sū-tiúnn ông-toh-kun、kok-an-kio̍k-tiúnn tshuà-tiâu-bîng hā-tâi」、li̍p-huat-īnn ìng-kai khah-kín siu-kái，hān-sok jîn-bîn kuân-lī-ê『tsi̍p-huē-iû-hîng-huat』。
學生在靜坐廿六小時之後，昨天上午行政院秘書長薛香川，才不願意的出面安撫，但是他出來就說：「政治是一時的，不過做人卻是永遠的。」,學生佇靜坐二十六點鐘了後，昨日早起行政院秘書長薛香川，才毋願的出面安搭，毋過伊出來著講：「政治是一時的，毋過做人煞是永遠的。」,ha̍k-sing tī tsīng-tsō jī-tsa̍p-la̍k-tiám-tsing liáu-āu，tso̍h-ji̍t tsá-khí hîng-tsìng-īnn pì-su-tiúnn sih-hiong-tshuan，tsâi-m̄-guān-ê tshut-bīn an-tah，m̄-koh i tshut-lâi tio̍h-kóng：「tsìng-tī sī tsi̍t-sî-ê，m̄-koh tsò-lâng suah-sī íng-uán-ê。」
引起學生高度不滿，對他嗆聲：「你是不是人？」,引起學生高度不滿，對伊唱聲：「你是毋是人？」,ín-khí ha̍k-sing ko-tōo put-buán，tuì i tshiàng-siann：「lí-sī-m̄-sī-lâng？」
學生說，如果是人就應該懂得尊重人權。,學生講，若是人就應該知影尊重人權。,ha̍k-sing-kóng，nā-sī-lâng tio̍h-ing-kai tsai-iánn tsun-tiōng jîn-kuân。
到下午四點三十分，警方第四次舉牌之後展開驅離，學生手勾著手，緊緊坐在一起，口喊「和平、人權」，還是被警方一一抬上警備車載離開。,到下晡四點三十分，警方袋四界夯牌仔了後展開驅逐，學生手勾著手，峇峇坐做伙，喙喝「和平、人權」，猶是被警方一一扛上警備車載離開。,kàu-ē-poo sì-tiám sann-tsa̍p-hun，kíng-hong tē-sì-kè giâ pâi-á liáu-āu thián-khui khu-ta̍k，ha̍k-sing tshiú-kau-tio̍h-tshiú，bā-bā tsē-tsò-hé，tshuì-huah「hô-pîng、jîn-kuân」，iáu-sī-pī kíng-hong it-it kng-tsiūnn kíng-pī-tshia tsài-lî-khui。
這個靜坐活動也在南部引起回響，高雄地區十幾個大學生、高中生昨晚前往高雄市警察局旁邊靜坐，表達聲援立場，而且揚言北上加入靜坐。,這个靜坐活動嘛佇南部引起回響，高雄地區十幾个大學生、高中生昨暝前往高雄市警察局邊仔靜坐，表達聲援立場，而且唱聲上北加入靜坐。,tsit-ê tsīng-tsō ua̍h-tāng mā-tī lâm-pōo ín-khí huê-hióng，ko-hiông-tē-khu tsa̍p-kuí-ê tāi-ha̍k-sing、ko-tiong-sing tsa-mê tsiân-óng ko-hiông-tshī-kíng-tshat-kio̍k pinn-á tsīng-tsō，piáu-ta̍t sing-uān li̍p-tiûnn，jî-tshiánn tshiàng-siann tsiūnn-pak ka-ji̍p tsīng-tsō。
美國國會宣佈歐巴馬當選第四十四任總統。美國國會今天正式確認，二零零八年十一月四日總統大選選舉結果，宣佈歐巴馬當選，美國第四十四屆，也是第五十六任美國總統。,美國國會宣佈Obama當選地勢汁四任總統。美國國會今仔日正式確認，兩千空八年十一月四號總統大選選舉結果，宣佈Obama當選，美國第四十四屆，嘛是第五十六任美國總統。,bí-kok kok-huē suan-pòo Obama tòng-suán tē-sì-tsap-sì-jīm tsóng-thóng. bí-kok kok-huē kin-á-ji̍t tsìng-sik khak-jīn，nn̄g-tshing-khòng-peh-nî tsa̍p-it-ge̍h-sì-hō tsóng-thóng-tāi-suán suán-kí kiat-kó，suan-pòo Obama tòng-suán，bí-kok tē-sì-tsa̍p-sì-kài，mā-sī tē-gōo-tsa̍p-la̍k-jīm bí-kok tsóng-thóng。
根據美國法律規定，國會必須正式計算五十州，及哥倫比亞特區選舉人票，然後正式宣佈選舉結果。,根據美國法律規定，國會必須正式計算五十州，佮Columbia特區選舉人票，然後正式宣佈選舉結果。,kun-kì bí-kok huat-lu̍t kui-tīng，kok-huē pit-su tsìng-sik kè-sǹg gōo-tsa̍p-tsiu，kap Columbia ti̍k-khu suán-kí-jîn-phiò，jiân-āu tsìng-sik suan-pòo suán-kí kiat-kó。
美國第一百一十一屆國會於六日開議，參議院和眾議院今天舉行聯席會議，即將卸任的副總統錢尼，以參院議長身份，與眾院議長裴洛西，兩人共同主持會議。,美國第一百十一屆國會佇六號開議參議院佮眾議院今仔日舉行聯席會議，咧欲卸任的副總統Cheney，用參院議長身份，和眾院議長Pelosi，兩人共同主持會議。,bí-kok tē tsi̍t-pah-tsa̍p-it-kài kok-huē tī la̍k-hō khui-gītsham-gī-īnn kap tsiòng-gī-īnn kin-á-ji̍t kí-hîng liân-si̍k huē-gī，tih-beh sià-jīm ê hù-tsóng-thóng Cheney，iōng tsham-īnn gī-tiúnn sin-hūn，hâm tsìng-īnn gī-tiúnn Pelosi，nn̄g-lâng kiōng-tông tsú-tshî huē-gī。
四位事先選好的國會議員，上台宣讀各州的投票結果。,四位事先選好的國會議員，上台宣讀各州的投票結果。,sì-uī sū-sian suán-hó ê kok-huē gī-uân，tsiūnn-tâi suan-tho̍k kok-tsiu ê tâu-phiò kiat-kó。
錢尼最後正式宣佈，全國五十州及哥倫比亞特區，共有五百三十八張選舉人票，由贏超過二百七十張選舉人票的候選人，當選第五十六任美國總統。,Cheney最後正式宣佈，全國五十州佮Columbia特區，攏總五百三十八張選舉人票，由贏超過兩百七十張選舉人票的候選人，當選第五十六任美國總統。,Cheney tsuè-āu tsìng-sik suan-pòo，tsuân-kok gōo-tsa̍p-tsiu kap Columbia ti̍k-khu，lóng-tsóng gōo-pah-sann-tsa̍p-peh-tiunn suán-kí-jîn-phiò，iû iânn tshiau-kuè nn̄g-pah-tshit-tsa̍p-tiunn suán-kí-jîn-phiò ê hāu-suán-jîn，tòng-suán tē-gōo-tsa̍p-la̍k-jīm bí-kok tsóng-thóng。
各州的選舉人投票選舉結果，伊利諾州聯邦參議員，歐巴馬贏得三百六十五張，亞利桑那州聯邦參議員，馬侃贏得一百七十三張。,各州的選舉人投票選舉結果，llinois-州聯邦參議員，Obama贏著三百六十五張，Arizona-tsiu1聯邦參議員，McCain贏著一百七十三張。,kok-tsiu-ê suán-kí-lâng tâu-phiò suán-kí kiat-kó，llinois-tsiu liân-pang tsham-gī-uân，Obama iânn-tio̍h sann-pah-la̍k-tsa̍p-gōo-tiunn，Arizona-tsiu liân-pang tsham-gī-uân，McCain iânn-tio̍h tsi̍t-pah-tshit-tsa̍p-sann-tiunn。
歐巴馬和競選搭檔拜登，分別當選總統和副總統。,Obama佮競選相鬥的Biden，分別當選總統佮副總統。,Obama kap kīng-suán sio-tàu-ê Biden，hun-pia̍t tòng-suán tsóng-thóng kap hù-tsóng-thóng。
錢尼宣佈之後，全體參眾議員起立鼓掌致敬。,Cheney宣佈了後，全體參眾議員徛起來拍噗仔致敬。,Cheney suan-pòo liáu-āu，tsuân-thé tsham-tsìng-gī-uân khiā-khí-lâi phah-pho̍k-á tì-kìng。
由錢尼正式宣佈的選舉結果文件，未來會送到美國國家檔案局保存，然後讓國會官方出版品刊登。,由Cheney正式宣佈的選舉結果文件，未來會送到美國國家檔案局保存，了後予國會官方出版品刊登。,iû Cheney tsìng-sik suan-pòo ê suán-kí kiat-kó bûn-kiānn，bī-lâi ē sàng-kàu bí-kok kok-ka-tòng-àn-kio̍k pó-tsûn，liáu-āu hōo kok-huē kuann-hong tshut-pán-phín khan-ting。
無薪假爭議勞工團體提出五大訴求。失業率再創新高，「無薪假」又持續蔓延，十餘個勞工團體、近千名勞工上午包圍勞委會。,無薪假爭議勞工團體提出五大訴求。失業率閣創新懸，「無薪假」閣持續湠開，十幾个勞工團體、倚幾千名勞工早起包圍勞委會。,bô-sin-kà tsing-gī lô-kang-thuân-thé the̍h-tshut gōo-tuā sòo-kiû. sit-gia̍p-lu̍t koh-tshòng sin-kuân，「bô-sin-kà」koh-tshî-sio̍k thuànn-khui，tsa̍p-kuí-ê lô-kang-thuân-thé，uá-kuí-tshian-miâ lô-kang tsá-khí pau-uî lô-uí-huē。
高舉「『裁』神到」、「官商勾結、勞工受害」等標語，抗議勞委會無力解決，企業違法放無薪假問題。,攑著「『裁』神到」、「官商勾結、勞工受害」頂標語，抗議勞委會無能解決，企業違法放無薪假問題。,gia̍h-tio̍h「『tshâi』sîn kàu」、「kuann-siong-kau-kiat、lô-kang siū-hāi」tíng piau-gú，khòng-gī lô-uí-huē bô-lîng kái-kuat，khì-gia̍p uî-huat pàng-bô-sin-kà būn-tê。
勞工團體揚言，若是勞委會一週內沒有具體回應，農曆年將發動上千名勞工，到總統府前面「圍爐」抗議。,勞工團體唱聲，若是勞委會一禮拜內無具體回應，農曆年欲發動上千名勞工，到總統府頭前「圍爐」抗議。,lô-kang-thuân-thé tshiàng-siann，nā-sī lô-uí-huē tsi̍t-lé-pài-lāi bô khū-thé huê-ìng，lông-li̍k-nî beh-huat-tōng tsiūnn-tshian-miâ lô-kang，kàu tsóng-thóng-hú thâu-tsîng「uî-lôo」khòng-gī。
勞工團體提出五大訴求：第一是政府必須宣示，企業實施無薪假是公然違法；第二、假使企業被迫實施無薪假，也不能違反勞工基本權益；第三、建立無薪假通報系統，禁止企業違法實施無薪假；第四、擴大對弱勢勞工紓困，反對政府無條件對企業紓困；第五、暫緩進用外勞，擴大對本國勞工進用。,勞工團體提出五大訴求：第一是政府必須宣示，企業實施無薪假是公然違法；第二、假使企業被迫實施無薪假，嘛袂當違反勞工基本權益；第三、建立無薪假通報系統，禁止企業違法實施無薪假；第四、擴大對弱勢勞工蘇睏，反對政府無條件對企業蘇睏；第五、暫停倩用外勞，擴大對本國勞工倩用。,lô-kang-thuân-thé the̍h-tshut gōo-tuā sòo-kiû：tē-it-sī tsìng-hú pit-su suan-sī，khì-gia̍p si̍t-si bô-sin-kà sī kong-jiân uî-huat；tē-jī、ká-sú khì-gia̍p pī-pik si̍t-si bô-sin-kà，mā-bē-tàng uî-huán lô-kang ki-pún kuân-ik；tē-sann、kiàn-li̍p bô-sin-kà thong-pò hē-thóng，kìm-tsí khì-gia̍p uî-huat si̍t-si bô-sin-kà；tē-sì、khok-tuā tuì jio̍k-sì lô-kang soo-khùn，huán-tuì tsìng-hú bô-tiâu-kiānn tuì khì-gia̍p soo-khùn；tē-gōo、tsiām-thîng tshiànn-iōng guā-lô，khok-tuā tuì pún-kok lô-kang tshiànn-iōng。
不過，由於勞委會主委王如玄在行政院開會，副主委卻稱「另有行程」，拖延大半天無人接見勞工團體。,不過，由於勞委會主委王如玄佇行政院開會，副主委煞講「另有行程」，拖延規半晡無人接見勞工團體。,put-kò，iû-î lô-uí-huē tsú-uí ông-jû-hiân tī hîng-tsìng-īnn khui-huē，hù-tsú-uí suah-kóng「līng-ū hîng-thîng」，thua-iân kui-puànn-poo bô-lâng tsiap-kiàn lô-kang-thuân-thé。
引發勞工不滿，一時情緒激動，朝著勞委會大門推擠，企圖強行進入，最後才由技監林振裕，出面接受陳情。,引發勞工不滿，一時情緒激動，向著勞委會大門捒，按算硬欲入去，最後才由技監林振裕，出面接受陳情。,ín-huat lô-kang put-buán，tsi̍t-sî tsîng-sū kik-tōng，ǹg-tio̍h lô-uí-huē tuā-mn̂g sak，àn-sǹg ngē-beh-ji̍p-khì，tsuè-āu tsâi-iû ki-kàm lîm-tsín-jū，tshut-bīn tsiap-siū tîn-tsîng。
在高雄從事電子業的王先生表示，最近兩三個月以來，一個月只上班十天到十五天，薪水只剩下一半。,佇高雄做電子業的王先生表示，最近兩三個月以來，一個月干焦上班十工到十五工，薪水干焦賰一半。,tī ko-hiông tsò tiān-tsú-gia̍p ê ông-sin-senn piáu-sī，tsuè-kīn nn̄g-sann-kòo-gue̍h í-lâi，tsi̍t-kòo-gue̍h kan-ta siāng-pan tsa̍p-kang kàu tsa̍p-gōo-kang，sin-suí kan-ta-tshun tsi̍t-puànn。
一家五個人都依靠他，王先生說，他實在擔心未來小孩子的學費、生活費應該從哪裡來？,一家口五个人攏倚靠依，王先生講，伊實在擔心未來囡仔的學費、生活費應該對搭來？,tsi̍t-ke-kháu gōo-ê-lâng lóng-uá-khò i，ông-sin-senn kóng，i si̍t-tsāi tam-sim bī-lâi gín-á ê ha̍k-huì、sing-ua̍h-huì ìng-kai tuì-tah-lâi？
從事運輸業的陳先生也說，以往景氣好的時候，每個月至少有五萬五千元，但是公司實施無薪假以後，他一個月只剩兩萬元。,做運輸業的陳先生嘛講，以往景氣好的時陣，逐個月上少有五萬五千箍，但是公司實施無薪假以後，伊一個月干焦賰兩萬箍。,tsò ūn-su-gia̍p ê tân-sin-senn mā-kóng，í-óng kíng-khì-hó ê sî-tsūn，ta̍k-kòo-gue̍h siāng-tsió-ū gōo-bān gōo-tshing-khoo，tān-sī kong-si si̍t-si bô-sin-kà í-āu，i tsi̍t-kòo-gue̍h kan-ta-tshun nn̄g-bān-khoo。
他有房屋貸款壓力，還有小孩要養，未來該怎麼辦？,伊有厝宅貸款壓力，猶有囡仔欲飼，未來欲按怎？,i-ū tshù-the̍h tài-khuán ap-li̍k，iáu-ū gín-á beh-tshī，bī-lâi beh-án-tsuánn？
嘉義破獲最大宗走私瘦肉精。雲林縣偵查隊經過半年的追蹤，在嘉義查獲走私中國瘦肉精原料的集團，再製成瘦肉精販賣給國內養豬戶的案件，總共查扣十八公斤乙型受體素，可以製作出三千六百公斤的瘦肉精，數量驚人也是目前國內查獲的最大宗。,嘉義破獲上大宗走私瘦肉精。雲林縣偵查隊經過半年的追蹤，佇嘉義查獲走私中國瘦肉精原料的集團，閣製成瘦肉精販賣予國內飼豬戶的案件，攏總查扣十八公斤乙型受體素，會使製作出三千六百公斤的瘦肉精，數量驚人嘛是目前國內查獲的上大宗，,ka-gī phò-hi̍k siāng-tuā-tsong tsáu-su sán-bah-tsing. hûn-lîm-kuān tsing-tsa-tuī king-kuè puànn-nî-ê tui-tsong，tī ka-gī tsa-hi̍k tsáu-su tiong-kok sán-bah-tsing guân-liāu-ê tsi̍p-thuân，koh-tsè-sîng sán-bah-tsing huàn-bē-hōo kok-lāi tshī-ti-hōo ê àn-kiānn，lóng-tsóng tsa-khàu tsa̍p-peh-kong-kin it-hîng-siū-thé-sòo，ē-sái tsè-tsok-tshut sann-tshing-la̍k-pah-kong-kin ê sán-bah-tsing，sòo-liāng kiann-lâng mā-sī bo̍k-tsîng kok-lāi tsa-hi̍k-ê siāng-tuā-tsong，
警方根據線報，來到嘉義這間倉庫大搜索，破獲製作瘦肉精的原料乙型受體素十八公斤，以及瘦肉精的成品跟半成品，一共逮捕包括林姓主嫌等五名嫌犯。,警方根據線報，來到嘉義這間倉庫大搜查，破獲製作瘦肉精的原料乙型受體素十八公斤，以及瘦肉精的成品佮半成品，攏總逮捕包括姓林主嫌頂餓名嫌犯。,kíng-hong kin-kì suànn-pò，lâi-kàu ka-gī tsit-king tshng-khòo tuā-soo-tsa，phò-hi̍k tsè-tsok sán-bah-tsing ê guân-liāu it-hîng-siū-thé-sòo tsa̍p-peh-kong-kin，í-ki̍p sán-bah-tsing ê sîng-phín kap puànn-sîng-phín，lóng-tsóng tāi-póo pau-kuat sènn-lîm tsú-hiâm tíng gō-miâ hiâm-huān。
紙箱裡裝著一包一包的乙型受體素，這是國內首次發現的禁藥，每公斤受體素，可以製作兩百公斤的瘦肉精，養豬戶通常為了增加豬肉價格，私底下濫用禁止使用的瘦肉精，每公斤的瘦肉精，可以添加一千公斤的飼料，經過添加瘦肉精，可以促進蛋白質合成，讓豬隻長瘦肉、減少脂肪，不過食用過量會造成噁心、心悸等等中毒症狀。,紙箱內裝著一包一包的乙型受體素，這是國內頭擺發現的禁藥，每公斤受體素，會使製作兩百公斤的瘦肉精，飼豬戶通常為著增加豬肉價數，私底下亂使用禁止使用的瘦肉精，每公斤的瘦肉精，會使添加一千公斤的飼料，經過添加瘦肉精，會使促進卵白質合成，予豬隻生瘦肉、減少肥油，毋過食用過量會造成心慒、心筅等等中毒症頭。,tsuá-siunn-lāi tsng-tio̍h tsi̍t-pau tsi̍t-pau ê it-hîng-siū-thé-sòo，tsit-sī kok-lāi thâu-pái huat-hiān-ê kìm-io̍h，muí-kong-kin siū-thé-sòo，ē-sái tsè-tsok nn̄g-pah-kong-kin ê sán-bah-tsing，tshī-ti-hōo thong-siông uī-tio̍h tsing-ka ti-bah kè-siàu，su-té-hā luān-sú-iōng kìm-tsí-sú-iōng ê sán-bah-tsing，muí-kong-kin ê sán-bah-tsing，ē-sái thinn-ka tsi̍t-tshing-kong-kin ê tshī-liāu，king-kuè thinn-ka sán-bah-tsing，ē-sái tshiok-tsìn nn̄g-pe̍h-tsit ha̍p-sîng，hōo ti-tsiah senn-sán-bah、kiám-tsió puî-iû，m̄-koh si̍t-iōng kuè-liāng ē-tsō-sîng sim-tso、sim-tshíng tíng-tíng tiòng-to̍k tsìng-thâu。
在國內屬於禁藥，不過嫌犯否認犯案，警方除了繼續突破他的心防，也將追查這些瘦肉精的流向，保障民眾的飲食安全。,佇國內屬於禁藥，毋過嫌犯否認犯案，警方除了繼續突破伊的心防，⿳ㄨㄢ⿳⿳ㄋㄚˋ欲追查遮的瘦肉精的流向，保障民眾的飲食安全。,tī-kok-lāi sio̍k-î kìm-io̍h，m̄-koh hiâm-huān hónn-jīn huān-àn，kíng-hong tî-liáu kè-sio̍k tu̍t-phuà i-ê sim-hông，uan-ná-beh tui-tsa tsia-ê sán-bah-tsing ê lâu-hiòng，pó-tsiàng bîn-tsiòng-ê ím-si̍t-an-tsuân。
王建民禮拜二返回台灣記者鄭又嘉台北報導在美國復健了大半個球季，王建民終於要回來了，他預計在十一月十一日本週二返回台灣，在短暫休息之後就展開密集公開活動，讓苦等他一年的球迷們一次看個過癮。,王腱眠禮拜二倒轉來臺灣記者鄭又嘉臺北報導佇美國復健了大半个球季，王健眠總算買轉來婭，伊按算佇十一月十一號這拜二倒轉來臺灣，佇目𥍉久歇-睏了後都展開密集公開活動，予孜孜等伊規年的球迷𪜶一擺看過癮。,ông-kiān-bîn lé-pài-jī tó-tńg-lâi tâi-uânkì-tsiá tēnn-iū-ka tâi-pak pò-tōtī bí-kok ho̍k-kiān-liáu tuā-puànn-ê kiû-kuì，ông-kiān-bîn tsóng-sǹg bé-tńg-lâi-à，i àn-sǹg-tī tsa̍p-it-gue̍h tsa̍p-it-hō tsit-pài-jī tó-tńg-lâi tâi-uân，tī ba̍k-nih-kú hennh-khùn liáu-āu to-thián-khui bi̍t-tsi̍p kong-khai-ua̍h-tāng，hōo tsu-tsu-tán i kui-nî-ê kiû-bê-in tsi̍t-pái khuànn-kuè-giàn。
