台文,台羅,中文
伊就是彼款土公仔性，你莫佮伊計較。,"I tō sī hit khuán thóo-kong-á-sìng, lí mài kah i kè-kàu. ",他的個性就是那麼粗魯，你不要和他計較。
請上天保庇咱臺灣會當安定佮富裕。,Tshiánn siōng-thian pó-pì lán Tâi-uân ē-tàng an-tīng kah hù-jū. ,請上蒼保佑我們臺灣能夠安定和富裕。
彼項工夫伊已經學上手矣。,Hit hāng kang-hu i í-king o̍h tsiūnn-tshiú--ah. ,那項技術他已熟練了。
諞仙仔錢諞上手就溜旋矣。,Pián-sian-á tsînn pián tsiūnn-tshiú tō liu-suan--ah. ,郎中錢一騙到手就開溜了。
彼口井敢閣有咧上水？,Hit kháu tsénn kám koh ū teh tshiūnn-tsuí? ,那口井還有人在取水嗎？
先下手為強,sing hē-tshiú uî kiông,先下手為強
下水湯,hā-suí thng,用禽類動物內臟煮成的湯
伊出手真大方，攏袂凍霜。,"I tshut-tshiú tsin tāi-hong, lóng bē tàng-sng. ",他出手很慷慨，一點也不會小氣吝嗇。
伊今仔日的穿插真大方。,I kin-á-ji̍t ê tshīng-tshah tsin tāi-hong. ,他今天的穿著很得體，有大家的風範。
今仔日是大日，真濟人嫁娶。,"Kin-á-ji̍t sī tuā-ji̍t, tsin tsē lâng kè-tshuā. ",今天是好日子，很多人嫁娶。
運動會閣拄著出大日，逐家一定會曝甲烏趖趖。,"Ūn-tōng-huē koh tú-tio̍h tshut tuā-ji̍t, ta̍k-ke it-tīng ē pha̍k kah oo-sô-sô. ",運動會又遇到出大太陽，大家一定會曬得很黑。
你若欲做衫，愛先量寸尺。,"Lí nā beh tsò sann, ài sing niû tshùn-tshioh. ",你如果想要做衣服，要先量身材尺寸。
囡仔人騎車愛小心，毋通騎傷緊。,"Gín-á-lâng khiâ-tshia ài sió-sim, m̄-thang khiâ siunn kín. ",小孩子騎車要留意謹慎，不要騎太快。
舊曆的小月干焦二十九工爾爾。,Kū-li̍k ê sió-gue̍h kan-na jī-tsa̍p-káu-kang niā-niā. ,農曆的小月只有二十九天而已。
這個月是小月，來阮店交關的人客有較少。,"Tsit kò gue̍h sī sió-gue̍h, lâi guán tiàm kau-kuan ê lâng-kheh ū khah tsió. ",這個月是生意淡季，來我們店裡捧場的人比較少。
伊是做小木的。,I sī tsò sió-ba̍k--ê. ,他是製作家具的木工。
這馬練工夫真時行。,Tsit-má liān kang-hu tsin sî-kiânn. ,現在很流行練功夫。
這條手巾仔做了有夠工夫。,Tsit tiâu tshiú-kin-á tsò liáu ū-kàu kang-hu. ,這條手帕做得很細緻。
伊的工夫袂䆀。,I ê kang-hu bē-bái. ,他的技術不錯。
咱攏是熟似人，毋免遐工夫。,"Lán lóng sī si̍k-sāi-lâng, m̄-bián hiah kang-hu. ",我們都是彼此熟識的人，不用那麼多禮。
你做代誌毋通三心兩意。,Lí tsò tāi-tsì m̄-thang sam-sim-lióng-ì. ,你做事情不要猶豫不決。
伊拍球拍甲大心氣。,I phah-kiû phah kah tuā-sim-khuì. ,他打球打到喘不過氣來。
你閣會曉西瓜倚大爿，知影欲綴阮行。,"Lí koh ē-hiáu si-kue uá tuā-pîng, tsai-iánn beh tuè guán kiânn. ",你還會見風轉舵，知道要跟著我們走。
你的年歲比我較濟，大爿讓予你坐。,"Lí ê nî-huè pí guá khah tsē, tuā-pîng niū hōo lí tsē. ",你的年紀比我大，左邊這個位子就讓給你坐。
冊愛用巾仔包咧。,Tsheh ài īng kin-á pau--leh. ,書要用布巾包著。
啥人叫你大主大意做這件代誌？,Siánn-lâng kiò lí tuā-tsú-tuā-ì tsò tsit kiānn tāi-tsì? ,誰叫你擅作主張做這件事？
這毋是啥物大代誌。,Tse m̄ sī siánn-mih tuā tāi-tsì. ,這不是什麼大事情。
遮的上加是兩百箍。,Tsia-ê siōng-ke sī nn̄g pah khoo. ,這些頂多兩百元。
上北的火車,tsiūnn-pak ê hué-tshia,北上的火車
小可仔代誌毋免囥佇心肝內。,Sió-khuá-á tāi-tsì m̄-bián khǹg tī sim-kuann lāi. ,一點小事不用放在心上。
這馬柑仔大四界。,Tsit-má kam-á tuā-sì-kè. ,現在到處都是橘子。
伊攏愛等甲下半暝才睏會落眠。,I lóng ài tán kah ē-puànn-mê tsiah khùn ē lo̍h-bîn. ,他都要等到下半夜才睡得熟。
股票上市,kóo-phiò tsiūnn-tshī,股票上市
做生理愛敢下本，才會成功。,"Tsò-sing-lí ài kánn hē-pún, tsiah ē sîng-kong. ",做生意要敢投入本錢，才會成功。
大本蕹菜,tuā-pún ìng-tshài,大型空心菜
伊是這个歌仔戲班的小旦。,I sī tsit ê kua-á-hì pan ê sió-tuànn. ,她是這個歌仔劇團裡的小旦。
伊看別人無上目。,I khuànn pa̍t-lâng bô tsiūnn-ba̍k. ,他瞧不起別人。
伊隨上台就袂記得愛唸口白。,I suî tsiūnn-tâi tō bē-kì-tit ài liām kháu-pe̍h. ,他一上臺就忘了要唸旁白。
大目新娘揣無灶。,Tuā-ba̍k sin-niû tshuē bô tsàu. ,大眼睛的新娘沒看見爐灶。諷刺一個人對於近在眼前的大目標，居然看不見。
彼个小生真緣投。,Hit ê sió-sing tsin iân-tâu. ,那個小生長得真英俊。
伊明仔載欲上任矣。,I bîn-á-tsài beh tsiūnn-jīm--ah. ,他明天要就職了。
我無欲放伊干休。,Guá bô beh pàng i kan-hiu. ,我不會放過他。
伊的大名，大部份的人攏知。,"I ê tuā-miâ, tuā-pōo-hūn ê lâng lóng tsai. ",他的大名，多數人皆知。
較早踮厝內，大囝的責任較重。,"Khah-tsá tiàm tshù-lāi, tuā-kiánn ê tsik-jīm khah tāng. ",早期在家裡，長子的責任比較重。
你這个臭小囝，哪會無代無誌共人拍？,"Lí tsit ê tshàu sió-kiánn, ná ē bô-tāi-bô-tsì kā lâng phah? ",你這個臭小子，怎麼無緣無故就打人呢？
彼个唱歌唱了上好的人，是阮姊仔。,"Hit ê tshiùnn kua tshiùnn liáu siōng hó ê lâng, sī guán tsí--á. ",那個唱歌唱得最好的人，就是我姐姐。
這件代誌你上好是莫管。,Tsit kiānn tāi-tsì lí siōng-hó sī mài kuán. ,這件事情你最好別管。
有也好，無也好。,"Ū iā hó, bô iā hó. ",有也好，沒有也好。
生理人初二、十六攏有拜土地公。,"Sing-lí-lâng tshe-jī, tsa̍p-la̍k lóng ū pài Thóo-tī-kong. ",生意人初二、十六都拜土地公。
下早仔去較袂熱。,E-tsái-á khì khah bē jua̍h. ,早上去比較不會熱。
下早仔伊有來揣你。,E-tsái-á i ū lâi tshuē--lí. ,今天早上他來找你。
伊是一个大耳豬。,I sī tsi̍t ê tuā-hīnn ti. ,他是耳根軟的人。
我若緊張就會大舌，話攏講袂清楚。,"Guá nā kín-tiunn tō ē tuā-tsi̍h, uē lóng kóng bē tshing-tshó. ",我若緊張就會口吃，話都說不清楚。
母舅坐大位。,Bú-kū tsē tuā-uī. ,舅舅坐主位。
好田地不如好子弟。,Hó tshân-tē put-jû hó tsú-tē. ,擁有良田美地，不如養育上進乖巧的好子孫。
恁小弟今年幾歲矣？,Lín sió-tī kin-nî kuí huè--ah? ,妳弟弟今年幾歲了？
小弟真歡喜來到貴寶地。,Sió-tī tsin huann-hí lâi-kàu kuì pó-tē. ,我很高興來到貴寶地。這句話也是走江湖的開場白。
請問這位小弟按怎稱呼？,Tshiánn-mn̄g tsit uī sió-tī án-tsuánn tshing-hoo? ,請問這位小兄弟怎麼稱呼？
北管戲嘛叫做亂彈、子弟戲，是早期臺灣時行的傳統戲曲。,"Pak-kuán-hì mā kiò-tsò lān-thân, tsú-tē-hì, sī tsá-kî Tâi-uân sî-kiânn ê thuân-thóng hì-khik. ",北管戲也叫做亂彈、子弟戲，是早期臺灣流行的傳統戲曲。
三更半暝,sann-kenn-puànn-mê,三更半夜
伊昨昏三更半暝才轉來。,I tsa-hng sann-kenn-puànn-mê tsiah tńg--lâi. ,他昨天三更半夜才回來。
這个庄頭無偌大，蹛無幾口灶。,"Tsit ê tsng-thâu bô guā tuā, tuà bô kuí kháu-tsàu. ",這個村子沒多大，沒有幾戶人家住在那裡。
伊有一个大肚胿，做啥物代誌攏真無方便。,"I ū tsi̍t ê tuā-tōo-kui, tsò siánn-mih tāi-tsì lóng tsin bô hong-piān. ",他有一個很大的肚子，做起任何事都很不方便。
伊親像大肚胿，一頓會當食六碗飯。,"I tshin-tshiūnn tuā-tōo-kui, tsi̍t tǹg ē-tàng tsia̍h la̍k uánn pn̄g. ",他的食量真的很大，一餐可以吃掉六碗飯。
伊揹一个大肚胿，嘛仝款拋拋走。,"I phāinn tsi̍t ê tuā-tōo-kui, mā kâng-khuán pha-pha-tsáu. ",他懷孕挺了個大肚子，還是一樣四處跑。
三角銀,sann-kak gîn,三毛錢
陳的！久見久見！近來攏咧無閒啥？,Tân--ê! Kiú-kiàn kiú-kiàn! Kīn-lâi lóng teh bô-îng siánn? ,老陳！好久不見！最近都在忙些什麼？
三角窗的厝來做店面上好。,Sann-kak-thang ê tshù lâi tsò tiàm-bīn siōng hó. ,轉角的房子來做店面最合適。
伊上愛提千里鏡看希罕的鳥仔。,I siōng ài the̍h tshian-lí-kiànn khuànn hi-hán ê tsiáu-á. ,他最喜歡拿望遠鏡看稀奇的鳥類。
我若無提醒，你久來就會袂記得矣。,"Guá nā bô thê-tshénn, lí kú--lâi tō ē bē-kì--tit--ah. ",我若沒有提醒你，時間一久你就會忘記了。
伊去予警察召去問口供。,I khì hōo kíng-tshat tiàu khì mn̄g kháu-king. ,他被警察叫去問口供。
大事化小事，小事化無事。,"Tuā-sū huà sió-sū, sió-sū huà bô-sū. ",大事化小，小事化無。有息事寧人或避重就輕之意。
這擺的工事真順利。,Tsit pái ê kang-sū tsin sūn-lī. ,這次的工程很順利。
大嫂疼小叔。,Tuā-só thiànn sió-tsik. ,大嫂疼小叔。
這片山坪種足濟茶欉。,Tsit phiàn suann-phiânn tsìng tsiok tsē tê-tsâng. ,這片山坡地上種了很多茶樹。
阮丈姆明仔載欲來。,Guán tiūnn-ḿ bîn-á-tsài beh lâi. ,我的岳母明天要來。
伊是阮小妹。,I sī guán sió-muē. ,她是我妹妹。
小妹感謝逐家的疼惜。,Sió-muē kám-siā ta̍k-ke ê thiànn-sioh. ,小妹謝謝大家對我的愛護。
𪜶兩个兄嫂小姑誠有話講。,In nn̄g ê hiann-só sió-koo tsiânn ū uē kóng. ,她們姑嫂倆很有得聊。
翁婿的老爸，愛稱呼伊大官。,"Ang-sài ê lāu-pē, ài tshing-hoo i ta-kuann. ",丈夫的父親，要稱呼他公公。
𪜶親情內底有一个大官虎，講話攏會硩死人。,"In tshin-tsiânn lāi-té ū tsi̍t ê tuā-kuann-hóo, kóng-uē lóng ē teh-sí-lâng. ",他的親戚裡頭有一個當大官的，說話都會將別人壓得死死的。
伊生本較土性，你莫佮伊計較。,"I senn-pún khah thóo-sìng, lí mài kah i kè-kàu. ",他天生就比較粗魯、率直，你不要和他計較。
伊驚見赴袂著車幫，下性命走。,"I kiann-kìnn hù bē tio̍h tshia-pang, hē-sènn-miā tsáu. ",他怕搭車會來不及，死命地跑。
屘叔仔明仔下昏才會轉來。,Ban-tsik-á bîn-á e-hng tsiah ē tńg--lâi. ,小叔叔明天晚上才會回來。
我下昏欲去看電影。,Guá e-hng beh khì khuànn tiān-iánn. ,我今晚要去看電影。
伊的人較土直，毋才較會去得失人。,"I ê lâng khah thóo-ti̍t, m̄-tsiah khah ē khì tik-sit--lâng. ",他的人個性比較直率，所以比較容易得罪別人。
我看𪜶兩个，會做伙嘛袂久長。,"Guá khuànn in nn̄g ê, ē tsò-hué mā bē kú-tn̂g. ",我看他們兩個，就算會在一起也不會長久。
恁這位千金生做真媠。,Lín tsit uī tshian-kim senn-tsò tsin suí. ,你的女兒長得很漂亮。
春宵一刻值千金。,Tshun siau it khik ti̍t tshian-kim. ,歡樂的時光是很美好可貴的。
你若是有啥物三長兩短，叫我欲按怎活落去？,"Lí nā-sī ū siánn-mih sann-tn̂g-nn̄g-té, kiò guá beh án-tsuánn ua̍h--lo̍h-khì? ",你如果有何不測，叫我要怎麼活下去？
石頭浸久嘛會上青苔。,Tsio̍h-thâu tsìm kú mā ē tshiūnn-tshenn-thî. ,石頭浸久了也會長青苔。比喻從事某一工作，時間久了也會有所成就。
久長病，無孝子。,"Kú-tn̂g-pēnn, bô hàu-tsú. ",久病床前無孝子。
三思而後行。,Sàm-su jî hiō hîng. ,三思而後行。
伊講伊大後日會倒轉來。,I kóng i tuā-āu--ji̍t ē tò-tńg--lâi. ,他說他大後天會回來。
伊這過出國，著愛大後年才會當倒轉來。,"I tsit-kuè tshut-kok, tio̍h-ài tuā-āu--nî tsiah ē-tàng tò-tńg--lâi. ",他這次出國，要大後年才會回來。
你閣按怎講，伊也是聽袂入耳。,"Lí koh án-tsuánn kóng, i iā sī thiann bē ji̍p-ní. ",你再怎麼說，他還是聽不進去。
伊是老師，也是學生。,"I sī lāu-su, iā sī ha̍k-sing. ",他是老師，也是學生。
彼个人才是歹人。,Hit ê lâng tsiah-sī pháinn-lâng. ,那個人才是壞人。
古早人會娶大某、細姨，這馬已經袂使按呢。,"Kóo-tsá-lâng ē tshuā tuā-bóo, sè-î, tsit-má í-king bē-sái án-ne. ",古時候的人會娶妻、妾，現在已經不能這樣。
年節時仔愛攢三牲來拜拜。,Nî-tseh-sî-á ài tshuân sam-sing lâi pài-pài. ,過年過節要準備祭品來祭拜神明。
𪜶兜是好額人，逐頓食的攏是山珍海味。,"In tau sī hó-gia̍h-lâng, ta̍k tǹg tsia̍h--ê lóng sī san-tin-hái-bī. ",他們家是有錢人，每餐都吃山珍海味。
人若肯拍拚，乞食也會出頭天。,"Lâng nā khíng phah-piànn, khit-tsia̍h iā ē tshut-thâu-thinn. ",人只要肯努力，連乞丐也會出人頭地。
算命的講伊生來是乞食命，毋過伊認真拍拚，這馬已經是大頭家矣。,"Sǹg-miā--ê kóng i senn--lâi sī khit-tsia̍h-miā, m̄-koh i jīn-tsin phah-piànn, tsit-má í-king sī tuā thâu-ke--ah. ",算命的說他生來就是乞丐命，但他認真努力，現在已經是大老闆了。
彼个人有夠大面神，攏毋知影通歹勢。,"Hit ê lâng ū-kàu tuā-bīn-sîn, lóng m̄ tsai-iánn thang pháinn-sè. ",那個人臉皮真厚，都不會不好意思。
相爭做乞食頭。,Sio-tsenn tsò khit-tsia̍h-thâu. ,爭當丐頭。其實做乞丐的所得有限，雖然乞丐頭可以過得比其他乞丐好一點，但終究無法和非乞丐相比。故此句有嘲諷或可憐人為小利而爭的意味。
聽講𪜶兜彼間大厝這馬是古蹟。,Thiann-kóng in tau hit king tuā-tshù tsit-má sī kóo-tsik. ,聽說他家的那間大房子現在是古蹟。
古早的老大人大部份攏會家己買大厝。,Kóo-tsá ê lāu-tuā-lâng tuā-pōo-hūn lóng ē ka-kī bé tuā-tshù. ,古時候的老人家大部分都會自己買棺材。
伊佇彼間銀行有一个口座。,I tī hit king gîn-hâng ū tsi̍t ê kháu-tsō. ,他在那間銀行有一個帳戶。
你是咱兜的大孫。,Lí sī lán tau ê tuā-sun. ,你是我們家的長孫。
阮大家誠疼我。,Guán ta-ke tsiânn thiànn--guá. ,我婆婆很疼我。
這个山崁誠懸。,Tsit ê suann-khàm tsiânn kuân. ,這座山崖很高。
𪜶兜是大家口，扞家的人誠忝頭。,"In tau sī tuā-ke-kháu, huānn-ke ê lâng tsiânn thiám-thâu. ",他家是個大家庭，掌家計的人很累。
𪜶大家官對伊袂䆀。,In ta-ke-kuann tuì i bē-bái. ,她的公公婆婆對她不錯。
來來來！逐家上桌食飯。,Lâi lâi-lâi! Ta̍k-ke tsiūnn-toh tsia̍h-pn̄g. ,來來來！大家一起過來吃飯。
頭家捀菜上桌。,Thâu-ke phâng tshài tsiūnn-toh. ,老闆端菜上桌。
伊的口氣真大。,I ê kháu-khì tsin tuā. ,他的口氣很大。
走甲大氣喘袂離。,Tsáu kah tuā-khuì tshuán bē lī. ,跑得喘不過氣。
我真討厭別人干涉我的代誌。,Guá tsin thó-ià pa̍t-lâng kan-sia̍p guá ê tāi-tsì. ,我很討厭別人干預我的事。
這罐芳水較低級，毋是高級貨。,"Tsit kuàn phang-tsuí khah kē-kip, m̄ sī ko-kip huè. ",這瓶香水是比較低級的貨品，不是高等級的貨色。
這陣人誠大陣。,Tsit tīn lâng tsiânn tuā tīn. ,這群人很大一群。
莫戴小鬼仔殼佇遐共人嚇驚。,Mài tì siáu-kuí-á-khak tī hia kā lâng heh-kiann. ,不要戴面具在那邊嚇人。
薪水予伊三除四扣就賰無偌濟矣。,Sin-suí hōo i sann-tû-sì-khàu tō tshun bô guā-tsē--ah. ,薪水給他東扣西扣就所剩無幾了。
欲上崎矣，莫行遐緊。,"Beh tsiūnn-kiā--ah, mài kiânn hiah kín. ",要上坡了，不要走這麼快。
金水嬸仔三个後生攏誠有才情，毋是經理，就是董事長。,"Kim-tsuí tsím--á sann ê hāu-senn lóng tsiânn ū tsâi-tsîng, m̄ sī king-lí, tō sī táng-sū tiúnn. ",金水嬸的三個兒子都很有才華，不是經理就是董事長。
三教九流,sam-kàu-kiú-liû,三教九流
下晝阮欲來去圖書館讀冊。,Ē-tàu guán beh lâi-khì tôo-su-kuán tha̍k-tsheh. ,下午我們要去圖書館讀書。
下晡我欲招阿美仔去𨑨迌。,Ē-poo guá beh tsio A-bí--á khì tshit-thô. ,下午我要找阿美去玩。
試看大細會合袂？,Tshì khuànn tuā-sè ē ha̍h--bē? ,試試大小合不合適？
做序大的人對待囡仔毋通大細心。,Tsò sī-tuā ê lâng tuì-thāi gín-á m̄-thang tuā-sè-sim. ,做長輩的人對待晚輩不可以偏心。
你看人大細目，早慢會出代誌。,"Lí khuànn lâng tuā-sè-ba̍k, tsá-bān ē tshut-tāi-tsì. ",你處事不公，遲早會出事。
遮的物件緊送去工場予𪜶。,Tsia--ê mi̍h-kiānn kín sàng khì kang-tiûnn hōo--in. ,這些東西趕快送去工廠給他們。
大富由天，小富由人。,"Tuā-pù iû thinn, sió-pù iû jîn. ",大富由天安排，命中註定，小富則靠自已努力累積。即勸人不要心存野心，但要勤奮努力。
像這款大寒的天，食一寡燒的上好。,"Tshiūnn tsit khuán tuā-kuânn ê thinn, tsia̍h tsi̍t kuá sio--ê siōng-hó. ",像這麼冷的天氣裡，吃些熱食是最好的了。
禮拜欲大摒掃，毋通走出去耍。,"Lé-pài beh tuā-piànn-sàu, m̄-thang tsáu tshut-khì sńg. ",星期日要大掃除，不要跑出去玩。
這塊餅已經上殕矣，緊提去擲㧒捔。,"Tsit tè piánn í-king tshiūnn-phú--ah, kín the̍h-khì tàn-hiat-ka̍k. ",這塊餅乾已經發霉了，趕快拿去丟。
伊對下港起來臺北食頭路。,I tuì ē-káng khí-lâi Tâi-pak tsia̍h-thâu-lōo. ,他從南部上來臺北工作。
大港無崁蓋。,Tuā-káng bô khàm kuà. ,大河沒有覆蓋。這句話多用於罵人去跳河自殺算了。
水足大港,tsuí tsiok tuā-káng,水流量非常大
風足大港,hong tsiok tuā-káng,風勢很強
氣象報告講今仔日有大湧，你毋通去釣魚。,"Khì-siōng pò-kò kóng kin-á-ji̍t ū tuā-íng, lí m̄-thang khì tiò-hî. ",氣象報告說今天會有大浪，你別去釣魚。
干焦賰遮的菜爾爾，你欲無？,"Kan-na tshun tsia-ê tshài niā-niā, lí beh--bô? ",只剩這些菜而已，你要嗎？
